Strategy,C,Gamma,Kernel,Accuracy_mean,Precision_mean,Recall_mean,F1_mean,AUC_mean,Training_Time_mean,TP_mean,TN_mean,FP_mean,FN_mean
MFCC_DELTA_DELTA,0.1,0.001,linear,0.6251872335522526,0.6232972705765524,0.6475620870357712,0.6347905767165132,0.671096859481753,0.15786843299865722,86.0,78.8,52.0,46.8
MFCC_DELTA_DELTA,0.1,0.001,rbf,0.5037936398202557,0.5037936398202557,1.0,0.6700294337695096,0.5885281211355939,0.26808691024780273,132.8,0.0,130.8,0.0
MFCC_DELTA_DELTA,0.1,0.01,linear,0.6251872335522526,0.6232972705765524,0.6475620870357712,0.6347905767165132,0.6711310813199122,0.15325613021850587,86.0,78.8,52.0,46.8
MFCC_DELTA_DELTA,0.1,0.01,rbf,0.6122681184468256,0.6069264953760557,0.6504670767828662,0.6275374106337781,0.6694869520462128,0.25927233695983887,86.4,75.0,55.8,46.4
MFCC_DELTA_DELTA,0.1,0.1,linear,0.6251872335522526,0.6232972705765524,0.6475620870357712,0.6347905767165132,0.6712066499189843,0.15949773788452148,86.0,78.8,52.0,46.8
MFCC_DELTA_DELTA,0.1,0.1,rbf,0.5144198640396358,0.5094952421955143,0.9864661654135339,0.671816039469361,0.5602517376824327,0.26360259056091306,131.0,4.6,126.2,1.8
MFCC_DELTA_DELTA,0.1,1.0,linear,0.6251872335522526,0.6232972705765524,0.6475620870357712,0.6347905767165132,0.6708958464864451,0.15872387886047362,86.0,78.8,52.0,46.8
MFCC_DELTA_DELTA,0.1,1.0,rbf,0.5037936398202557,0.5037936398202557,1.0,0.6700294337695096,0.44117439812096293,0.28880085945129397,132.8,0.0,130.8,0.0
MFCC_DELTA_DELTA,1.0,0.001,linear,0.6206302569420441,0.622807433111005,0.6249715197083618,0.6231342477280978,0.6573418124663604,0.5545605659484864,83.0,80.6,50.2,49.8
MFCC_DELTA_DELTA,1.0,0.001,rbf,0.6259361677612628,0.6291268498004017,0.6233766233766234,0.625864989275452,0.672291505200304,0.2496253490447998,82.8,82.2,48.6,50.0
MFCC_DELTA_DELTA,1.0,0.01,linear,0.6206302569420441,0.622807433111005,0.6249715197083618,0.6231342477280978,0.6567199788292596,0.555169677734375,83.0,80.6,50.2,49.8
MFCC_DELTA_DELTA,1.0,0.01,rbf,0.647188616200023,0.6393102209479168,0.6897243107769422,0.6631544602425321,0.6960008138372944,0.23643078804016113,91.6,79.0,51.8,41.2
MFCC_DELTA_DELTA,1.0,0.1,linear,0.6206302569420441,0.622807433111005,0.6249715197083618,0.6231342477280978,0.6565361489989854,0.5537213325500489,83.0,80.6,50.2,49.8
MFCC_DELTA_DELTA,1.0,0.1,rbf,0.6191151054268925,0.6307568815719286,0.5903394850763272,0.6094348208901827,0.6764819518234545,0.27902584075927733,78.4,84.8,46.0,54.4
MFCC_DELTA_DELTA,1.0,1.0,linear,0.6206302569420441,0.622807433111005,0.6249715197083618,0.6231342477280978,0.6565367503796592,0.5682295799255371,83.0,80.6,50.2,49.8
MFCC_DELTA_DELTA,1.0,1.0,rbf,0.5053116718515958,0.5045803086221917,0.9969924812030075,0.6700413893168763,0.4942417686772849,0.2873544216156006,132.4,0.8,130.0,0.4
